id_manihot,id_arabidopsis,EC,KO,log2_fold_change,valor_p_ajustado
Manes.02G189600,AT2G38470.1,0,K13424,43.126874695595504,1.3096055198853199e-27
Manes.16G060500,AT5G44800.1,3.6.4.12,0,41.7544242754419,3.1292017687417297e-43
Manes.06G094100,AT3G47640.2,0,0,30.018544924354,2.2760021596912103e-09
Manes.01G059400,AT1G63670.1,0,0,27.6658483693747,1.17874462503518e-11
Manes.02G151400,AT1G22360.1,2.4.1.324,0,26.850965618886498,1.05694834967453e-07
Manes.15G089100,AT3G15220.1,2.7.11.1,K08838,25.8300060565737,3.7218403230896794e-17
Manes.01G195300,AT1G70150.1,0,K24081,23.3016940948208,2.07799594724532e-08
Manes.03G060700,AT2G25870.1,0,0,21.841107803945103,0.000135815065726763
Manes.15G016500,AT5G18660.1,1.3.1.75,K19073,17.3950494175613,4.9842158718319895e-05
Manes.05G064600,AT5G27690.1,0,0,16.485027418873802,9.47334175390949e-36
Manes.01G203100,AT3G63430.1,0,0,16.0380938886294,0.00153835272250014
Manes.16G113000,AT4G29100.1,0,0,14.6805276650226,1.0002202111843799e-20
Manes.08G010600,AT2G36950.1,0,0,14.632486262437197,7.089494759003241e-17
Manes.02G112700,AT5G66030.1,0,0,14.375309584082599,9.55123362491207e-16
Manes.08G136000,AT3G04710.1,0,0,13.5947161881344,5.28740844234863e-08
Manes.17G013000,AT4G17830.1,3.5.1.16,K01438,12.6172952866695,6.70568541372664e-09
Manes.07G098700,AT2G37040.1,4.3.1.24,K10775,11.9767009463133,0.00214414026998011
Manes.04G116500,AT1G80210.1,3.4.19.12,K11864,11.9594273471557,0.00037687843657709704
Manes.15G064900,AT5G55390.2,2.1.1.43,0,11.4196793496598,8.46630080779093e-06
Manes.04G072100,AT4G35110.3,0,0,11.4086128525492,2.07799594724532e-08
Manes.02G110400,AT2G17710.1,0,0,10.4301517891589,4.3884168674844104e-10
Manes.18G068600,AT1G78110.1,0,0,10.1771278940138,0.000904247977316872
Manes.03G064800,AT5G25540.1,0,0,10.0247598522235,0.0059909328440477605
Manes.02G108200,AT4G35920.3,0,0,9.96803174375297,6.21801111030709e-06
Manes.12G008800,AT1G24265.1,0,0,9.82527065175217,0.000123875958545823
Manes.12G113200,AT5G67460.1,3.2.1.39,0,9.66364822959871,5.4324818468497495e-05
Manes.02G089700,AT2G30950.1,0,K03798,9.41337199901925,6.5680707495109e-05
Manes.12G121100,AT5G65640.1,0,0,9.376609515831461,1.74721920175799e-05
Manes.12G092800,AT1G06290.1,1.3.3.6,K00232,9.360156813485132,5.4083773262575604e-05
Manes.09G158200,AT1G54570.1,"2.3.1.20,2.3.1.22",0,9.31965504228009,3.74514809180946e-08
Manes.11G150900,AT5G60800.1,0,0,9.19819149978473,3.18987204105464e-05
Manes.14G160700,0,0,0,9.16217749717336,2.7969200512603804e-05
Manes.04G149300,AT1G72370.2,0,K02998,9.04792299261801,1.07106644148768e-09
Manes.01G028300,AT1G18650.1,0,0,9.015130424832599,5.1681224237969395e-05
Manes.09G095700,AT2G27230.1,0,0,9.008248114153169,5.5889479438570706e-05
Manes.18G041700,AT3G16150.1,3.5.1.1,K13051,8.939813697716131,0.0036088363807162205
Manes.18G013500,AT1G19980.1,0,0,8.914285616557631,3.5171421806703504e-11
Manes.10G077200,AT1G47128.1,3.4.22.14,0,8.717324764093808,1.03091511034282e-07
Manes.15G067000,AT5G55180.1,3.2.1.39,0,8.57163174307669,0.0080646819323394
Manes.10G039500,AT3G55070.1,0,K18624,8.37730832499794,0.000312890949574352
Manes.01G032500,AT1G29150.1,0,K03036,8.17561233662352,1.7995873023316e-05
Manes.11G098400,AT4G38460.1,2.5.1.29,K13789,8.17100330824937,0.00747243310032939
Manes.04G040500,AT2G43360.1,2.8.1.6,K01012,7.983454949804139,3.5634832222083705e-05
Manes.15G083400,AT5G54310.1,0,K12486,7.92030116553083,0.00162377990453006
Manes.06G092300,0,0,0,7.691322173493369,0.008339749908857491
